Book_ID,Title,Author,Genre,Published_Year,Price,Stock
1,Beyond the Desert 1,Safiur Rahman Mubarakpuri,Islamic,1949,21.34,100
2,The Patient Soul 2,Safiur Rahman Mubarakpuri,Spirituality,1971,35.8,19
3,The Trustworthy 3,Haifaa Younis,Islamic,1913,15.75,27
4,Mercy to Mankind 4,Haifaa Younis,Hadith,2020,43.52,8
5,The Trustworthy 5,Safiur Rahman Mubarakpuri,Spirituality,1956,10.95,16
6,The Trustworthy 6,Mufti Menk,Spirituality,1985,6.56,2
7,The Trustworthy 7,Haifaa Younis,Spirituality,1927,43.63,95
8,Wisdom of the Believers 8,Mufti Menk,Spirituality,2019,48.99,84
9,The Sealed Path 9,Bilal Philips,Biography,1987,14.33,70
10,Echoes of Medina 10,Muhammad Asad,Biography,2015,24.63,25
11,Echoes of Medina 11,Safiur Rahman Mubarakpuri,Islamic,1998,35.95,10
12,Gardens of Faith 12,Haifaa Younis,Biography,1989,27.43,63
13,Light Upon Hearts 13,Haifaa Younis,Spirituality,1913,14.04,99
14,The Patient Soul 14,Bilal Philips,Spirituality,1933,6.04,95
15,The Patient Soul 15,Safiur Rahman Mubarakpuri,Biography,1997,23.83,58
16,The Sealed Path 16,Mufti Menk,Islamic,1941,10.07,8
17,The Patient Soul 17,Haifaa Younis,Hadith,1966,5.37,45
18,Mercy to Mankind 18,Bilal Philips,Spirituality,2021,39.47,32
19,Echoes of Medina 19,Bilal Philips,Quran,1990,11.31,1
20,The Patient Soul 20,Yasir Qadhi,Quran,1978,48.13,64
21,The Sealed Path 21,Omar Suleiman,Hadith,1925,47.13,87
22,The Patient Soul 22,Bilal Philips,Biography,1908,39.23,78
23,Light Upon Hearts 23,Abu Ammaar Yasir Qadhi,Hadith,1967,38.55,70
24,Beyond the Desert 24,Nouman Ali Khan,History,1907,32.74,54
25,The Trustworthy 25,Omar Suleiman,History,1984,8.55,79
26,The Patient Soul 26,Nouman Ali Khan,Spirituality,1964,21.05,41
27,The Patient Soul 27,Mufti Menk,Biography,1927,42.14,76
28,Echoes of Medina 28,Haifaa Younis,Spirituality,1941,37.51,79
29,Journey to Makkah 29,Yasir Qadhi,Quran,1905,31.12,100
30,Wisdom of the Believers 30,Haifaa Younis,Spirituality,2012,30.58,37
31,Mercy to Mankind 31,Haifaa Younis,Spirituality,2010,21.23,44
32,The Sealed Path 32,Safiur Rahman Mubarakpuri,Islamic,2021,21.56,100
33,The Trustworthy 33,Mufti Menk,History,2023,35.06,49
34,The Sealed Path 34,Mufti Menk,Quran,1939,16.49,43
35,Journey to Makkah 35,Bilal Philips,Biography,2018,31.81,85
36,Echoes of Medina 36,Ali Hammuda,History,1949,34.51,86
37,Gardens of Faith 37,Ali Hammuda,Spirituality,1955,13.08,3
38,The Sealed Path 38,Yasir Qadhi,Hadith,2022,16.47,72
39,The Sealed Path 39,Ali Hammuda,Islamic,1978,10.99,42
40,Journey to Makkah 40,Mufti Menk,Spirituality,1923,25.97,94
41,Gardens of Faith 41,Abu Ammaar Yasir Qadhi,Biography,1950,43.09,78
42,The Trustworthy 42,Bilal Philips,Biography,1937,48.35,82
43,The Sealed Path 43,Bilal Philips,Spirituality,1952,47.39,61
44,The Trustworthy 44,Omar Suleiman,Biography,1965,13.55,0
45,Mercy to Mankind 45,Haifaa Younis,Islamic,1984,25.49,59
46,Gardens of Faith 46,Safiur Rahman Mubarakpuri,Islamic,1923,33.17,75
47,The Trustworthy 47,Bilal Philips,Biography,2006,20.37,90
48,Gardens of Faith 48,Safiur Rahman Mubarakpuri,Hadith,1963,24.7,94
49,Echoes of Medina 49,Yasir Qadhi,Biography,1955,49.5,15
50,Echoes of Medina 50,Ali Hammuda,Quran,1970,37.0,63
51,The Sealed Path 51,Nouman Ali Khan,History,2022,46.3,95
52,The Trustworthy 52,Abu Ammaar Yasir Qadhi,Biography,2003,16.53,85
53,Echoes of Medina 53,Mufti Menk,Biography,1969,29.28,60
54,Journey to Makkah 54,Haifaa Younis,Spirituality,2015,44.78,27
55,The Sealed Path 55,Ali Hammuda,Spirituality,1934,27.32,66
56,Beyond the Desert 56,Nouman Ali Khan,Hadith,1976,7.87,67
57,Light Upon Hearts 57,Abu Ammaar Yasir Qadhi,Hadith,1962,23.59,27
58,Gardens of Faith 58,Nouman Ali Khan,Islamic,1995,34.54,14
59,The Trustworthy 59,Nouman Ali Khan,Islamic,2012,26.0,41
60,The Patient Soul 60,Mufti Menk,History,1990,35.14,0
61,The Sealed Path 61,Omar Suleiman,Quran,1934,41.05,10
62,The Patient Soul 62,Omar Suleiman,Biography,1953,26.34,23
63,Wisdom of the Believers 63,Mufti Menk,Hadith,1989,22.38,56
64,Mercy to Mankind 64,Bilal Philips,Islamic,1963,24.1,86
65,The Trustworthy 65,Nouman Ali Khan,Biography,1982,22.7,7
66,Beyond the Desert 66,Haifaa Younis,Islamic,1961,28.29,93
67,The Trustworthy 67,Abu Ammaar Yasir Qadhi,Hadith,1966,10.23,25
68,Mercy to Mankind 68,Nouman Ali Khan,Hadith,1919,29.55,23
69,Mercy to Mankind 69,Ali Hammuda,Islamic,1961,8.79,50
70,The Patient Soul 70,Abu Ammaar Yasir Qadhi,Islamic,2021,23.45,19
71,Light Upon Hearts 71,Omar Suleiman,Hadith,1950,38.5,40
72,The Sealed Path 72,Abu Ammaar Yasir Qadhi,Biography,1959,46.54,65
73,Journey to Makkah 73,Nouman Ali Khan,Biography,1933,21.23,39
74,Beyond the Desert 74,Safiur Rahman Mubarakpuri,Quran,1986,45.12,83
75,Mercy to Mankind 75,Ali Hammuda,Islamic,1912,47.11,3
76,Journey to Makkah 76,Omar Suleiman,History,2009,41.33,9
77,Beyond the Desert 77,Muhammad Asad,Islamic,1935,44.28,88
78,The Sealed Path 78,Abu Ammaar Yasir Qadhi,Spirituality,1988,13.07,86
79,The Trustworthy 79,Bilal Philips,Quran,1935,32.48,4
80,Gardens of Faith 80,Yasir Qadhi,Islamic,1985,34.84,19
81,The Sealed Path 81,Haifaa Younis,Quran,2010,44.19,13
82,Journey to Makkah 82,Omar Suleiman,Quran,2001,45.7,38
83,Gardens of Faith 83,Abu Ammaar Yasir Qadhi,Spirituality,2022,8.94,92
84,The Trustworthy 84,Mufti Menk,Spirituality,1980,44.59,20
85,Journey to Makkah 85,Muhammad Asad,Islamic,1939,19.43,29
86,Gardens of Faith 86,Bilal Philips,Hadith,1948,25.51,44
87,The Patient Soul 87,Muhammad Asad,Quran,1986,34.84,98
88,The Sealed Path 88,Nouman Ali Khan,Quran,1999,40.22,32
89,The Trustworthy 89,Yasir Qadhi,Biography,1959,14.72,16
90,Wisdom of the Believers 90,Mufti Menk,Spirituality,1965,16.56,10
91,Gardens of Faith 91,Mufti Menk,Biography,1923,27.82,81
92,Echoes of Medina 92,Omar Suleiman,Islamic,1911,34.21,58
93,Echoes of Medina 93,Nouman Ali Khan,Hadith,2009,17.43,37
94,Beyond the Desert 94,Haifaa Younis,Islamic,2001,16.86,75
95,Gardens of Faith 95,Bilal Philips,Islamic,1990,49.53,11
96,Light Upon Hearts 96,Safiur Rahman Mubarakpuri,Hadith,1913,12.55,73
